founder_id,course_id,course_name,skill_tag,completed,pre_score,post_score,instructor_qualification
F0001,C07,知识产权与合规,合规,否,45,60,高级讲师
F0001,C02,B2B销售实战,销售,否,60,77,行业导师
F0002,C01,客户发现与需求验证,客户发现,是,56,78,高级讲师
F0002,C02,B2B销售实战,销售,是,48,72,行业导师
F0003,C06,创业融资与路演,融资,是,37,56,创业导师
F0003,C02,B2B销售实战,销售,是,37,59,行业导师
F0003,C05,团队管理与组织建设,管理,是,44,64,行业导师
F0004,C06,创业融资与路演,融资,是,49,67,创业导师
F0004,C01,客户发现与需求验证,客户发现,是,59,73,行业导师
F0005,C05,团队管理与组织建设,管理,否,74,93,高级讲师
F0005,C06,创业融资与路演,融资,是,78,98,高级讲师
F0005,C06,创业融资与路演,融资,否,59,73,高级讲师
F0005,C06,创业融资与路演,融资,是,54,77,创业导师
F0006,C04,产品经理与MVP设计,产品,是,36,45,高级讲师
F0006,C04,产品经理与MVP设计,产品,是,46,52,高级讲师
F0006,C01,客户发现与需求验证,客户发现,是,53,74,创业导师
F0007,C03,创业财务与现金流,财务,是,75,88,创业导师
F0007,C06,创业融资与路演,融资,是,72,95,行业导师
F0007,C03,创业财务与现金流,财务,是,56,74,行业导师
F0008,C07,知识产权与合规,合规,是,53,67,创业导师
F0008,C05,团队管理与组织建设,管理,是,62,74,创业导师
F0009,C05,团队管理与组织建设,管理,是,39,59,高级讲师
F0009,C02,B2B销售实战,销售,是,54,74,行业导师
F0009,C08,产业市场分析,市场分析,是,53,62,高级讲师
F0009,C03,创业财务与现金流,财务,是,53,64,行业导师
F0010,C07,知识产权与合规,合规,是,38,57,创业导师
F0010,C01,客户发现与需求验证,客户发现,是,43,56,创业导师
F0010,C08,产业市场分析,市场分析,否,76,90,创业导师
F0011,C06,创业融资与路演,融资,是,65,84,高级讲师
F0011,C01,客户发现与需求验证,客户发现,是,58,71,高级讲师
F0012,C03,创业财务与现金流,财务,是,36,55,行业导师
F0012,C05,团队管理与组织建设,管理,是,44,65,高级讲师
F0012,C01,客户发现与需求验证,客户发现,是,55,69,行业导师
F0013,C01,客户发现与需求验证,客户发现,是,53,67,行业导师
F0013,C06,创业融资与路演,融资,是,39,51,创业导师
F0014,C05,团队管理与组织建设,管理,是,54,66,高级讲师
F0014,C07,知识产权与合规,合规,否,50,57,行业导师
F0014,C03,创业财务与现金流,财务,是,76,88,创业导师
F0014,C06,创业融资与路演,融资,是,60,77,创业导师
