founder_id,display_name,education,major,group_type,registration_status,venture_type,years_experience,city
F0001,创业者0001,硕士,机械工程,返乡创业者,已登记,科技创业,18,宁波
F0002,创业者0002,本科,电子信息,普通创业者,已登记,文化创意,6,杭州
F0003,创业者0003,硕士,电子信息,返乡创业者,未登记,数字服务,13,苏州
F0004,创业者0004,硕士,计算机,普通创业者,已登记,消费服务,15,深圳
F0005,创业者0005,博士,工商管理,返乡创业者,已登记,数字服务,17,深圳
F0006,创业者0006,博士,材料科学,技能人才,已登记,文化创意,18,苏州
F0007,创业者0007,本科,设计,企业技术骨干,已登记,消费服务,10,苏州
F0008,创业者0008,大专,电子信息,高校毕业生,未登记,消费服务,12,宁波
F0009,创业者0009,本科,材料科学,技能人才,已登记,数字服务,18,成都
F0010,创业者0010,大专,工商管理,科研人员,未登记,制造业创业,7,苏州
F0011,创业者0011,硕士,设计,科研人员,已登记,制造业创业,15,合肥
F0012,创业者0012,博士,材料科学,普通创业者,未登记,数字服务,15,杭州
F0013,创业者0013,大专,材料科学,科研人员,已登记,数字服务,13,深圳
F0014,创业者0014,本科,生物工程,高校毕业生,未登记,消费服务,12,深圳
F0015,创业者0015,本科,设计,普通创业者,已登记,数字服务,17,深圳
F0016,创业者0016,博士,材料科学,普通创业者,已登记,制造业创业,3,杭州
F0017,创业者0017,博士,设计,高校毕业生,未登记,消费服务,13,深圳
F0018,创业者0018,大专,工商管理,返乡创业者,已登记,文化创意,3,武汉
F0019,创业者0019,博士,材料科学,高校毕业生,未登记,科技创业,3,苏州
F0020,创业者0020,本科,电子信息,技能人才,已登记,文化创意,15,苏州
F0021,创业者0021,大专,计算机,科研人员,未登记,消费服务,2,成都
F0022,创业者0022,硕士,计算机,科研人员,已登记,消费服务,8,武汉
F0023,创业者0023,本科,计算机,高校毕业生,未登记,数字服务,9,宁波
F0024,创业者0024,硕士,计算机,企业技术骨干,已登记,制造业创业,17,杭州
F0025,创业者0025,大专,金融,高校毕业生,已登记,消费服务,8,深圳
F0026,创业者0026,硕士,计算机,技能人才,已登记,科技创业,11,杭州
F0027,创业者0027,本科,金融,高校毕业生,已登记,数字服务,10,南京
F0028,创业者0028,大专,金融,技能人才,已登记,科技创业,7,宁波
F0029,创业者0029,博士,电子信息,高校毕业生,已登记,制造业创业,13,南京
F0030,创业者0030,大专,工商管理,普通创业者,已登记,文化创意,5,成都
F0031,创业者0031,本科,设计,企业技术骨干,未登记,文化创意,11,武汉
F0032,创业者0032,硕士,计算机,高校毕业生,已登记,文化创意,18,苏州
F0033,创业者0033,博士,机械工程,企业技术骨干,已登记,制造业创业,4,苏州
F0034,创业者0034,博士,工商管理,普通创业者,未登记,科技创业,18,武汉
F0035,创业者0035,硕士,机械工程,返乡创业者,已登记,制造业创业,13,成都
F0036,创业者0036,硕士,计算机,科研人员,未登记,数字服务,12,南京
F0037,创业者0037,本科,设计,企业技术骨干,未登记,科技创业,3,杭州
F0038,创业者0038,大专,生物工程,返乡创业者,未登记,消费服务,6,南京
F0039,创业者0039,大专,设计,技能人才,未登记,文化创意,13,南京
F0040,创业者0040,硕士,电子信息,企业技术骨干,未登记,文化创意,18,宁波
F0041,创业者0041,本科,材料科学,返乡创业者,已登记,制造业创业,2,成都
F0042,创业者0042,博士,生物工程,返乡创业者,未登记,数字服务,3,南京
F0043,创业者0043,大专,设计,普通创业者,已登记,科技创业,3,杭州
F0044,创业者0044,本科,材料科学,技能人才,已登记,制造业创业,3,宁波
F0045,创业者0045,本科,电子信息,科研人员,已登记,消费服务,4,武汉
F0046,创业者0046,大专,生物工程,企业技术骨干,已登记,消费服务,16,合肥
F0047,创业者0047,硕士,金融,返乡创业者,已登记,文化创意,10,武汉
F0048,创业者0048,大专,电子信息,高校毕业生,已登记,文化创意,17,南京
