policy_id,policy_name,region,industries,target_stages,support_type,amount_max,valid_to
POL001,示例创业扶持政策001,武汉,企业服务|新能源,MVP验证,导师服务,2000000,2026-12-31
POL002,示例创业扶持政策002,合肥,生物医药,市场验证,导师服务,200000,2026-12-31
POL003,示例创业扶持政策003,成都,机器人,项目筹备,研发资助,200000,2027-12-31
POL004,示例创业扶持政策004,武汉,企业服务|消费科技|新能源,成长期|机会探索,研发资助,2000000,2027-06-30
POL005,示例创业扶持政策005,苏州,智能制造|人工智能|生物医药,MVP验证|项目筹备,创业担保贷款,1000000,2027-12-31
POL006,示例创业扶持政策006,南京,人工智能,项目筹备,创业担保贷款,1000000,2026-12-31
POL007,示例创业扶持政策007,武汉,企业服务|消费科技,成长期,导师服务,500000,2026-12-31
POL008,示例创业扶持政策008,合肥,机器人|人工智能|消费科技,MVP验证|市场验证,场地支持,1000000,2026-12-31
POL009,示例创业扶持政策009,宁波,生物医药|机器人|智能制造,商业化|MVP验证|成长期,场地支持,500000,2027-12-31
POL010,示例创业扶持政策010,深圳,企业服务|机器人,项目筹备|机会探索|商业化,导师服务,1000000,2027-12-31
POL011,示例创业扶持政策011,苏州,文化数字化|智能制造|人工智能,MVP验证,创业担保贷款,500000,2027-06-30
POL012,示例创业扶持政策012,武汉,企业服务|消费科技,成长期|机会探索,创业担保贷款,500000,2027-06-30
POL013,示例创业扶持政策013,成都,新能源|人工智能|生物医药,项目筹备,场地支持,2000000,2026-12-31
POL014,示例创业扶持政策014,杭州,机器人|文化数字化,成长期|商业化,补贴,500000,2026-12-31
POL015,示例创业扶持政策015,深圳,企业服务,项目筹备,研发资助,1000000,2027-06-30
POL016,示例创业扶持政策016,宁波,文化数字化|消费科技|企业服务,商业化,创业担保贷款,200000,2027-12-31
POL017,示例创业扶持政策017,南京,新能源|文化数字化|消费科技,项目筹备|市场验证|商业化,场地支持,500000,2026-12-31
POL018,示例创业扶持政策018,苏州,企业服务|新能源,机会探索|MVP验证|成长期,研发资助,1000000,2027-12-31
POL019,示例创业扶持政策019,杭州,新能源|机器人|消费科技,市场验证|项目筹备,创业担保贷款,1000000,2026-12-31
POL020,示例创业扶持政策020,宁波,新能源|企业服务,市场验证|MVP验证,场地支持,1000000,2027-06-30
POL021,示例创业扶持政策021,苏州,企业服务|生物医药,项目筹备|机会探索|成长期,创业担保贷款,500000,2027-12-31
POL022,示例创业扶持政策022,合肥,生物医药|人工智能|文化数字化,商业化|机会探索|项目筹备,创业担保贷款,2000000,2026-12-31
POL023,示例创业扶持政策023,南京,消费科技,商业化|MVP验证|项目筹备,研发资助,200000,2026-12-31
POL024,示例创业扶持政策024,成都,智能制造,市场验证,导师服务,1000000,2026-12-31
