founder_id,insured_status,contribution_years,interruption_count,credit_band,contract_default_count
F0001,正常,15.1,3,A,0
F0002,暂停,13.0,1,A,0
F0003,正常,10.1,3,C,2
F0004,创业后转灵活就业,4.2,2,A,0
F0005,暂停,7.5,0,A,0
F0006,创业后转灵活就业,8.0,3,A,0
F0007,暂停,8.2,3,B,1
F0008,正常,12.1,3,B,2
F0009,正常,11.7,3,B,1
F0010,创业后转灵活就业,2.8,3,B,2
F0011,创业后转灵活就业,11.6,2,A,0
F0012,创业后转灵活就业,2.6,0,B,1
F0013,创业后转灵活就业,15.5,3,C,2
F0014,正常,12.9,3,B,0
F0015,暂停,14.7,3,B,0
F0016,创业后转灵活就业,12.8,2,A,0
F0017,创业后转灵活就业,7.8,0,A,0
F0018,暂停,12.9,3,B,1
F0019,正常,12.4,2,A,0
F0020,暂停,14.6,1,A,0
F0021,暂停,4.9,2,B,2
F0022,暂停,14.8,3,A,0
F0023,暂停,6.0,2,C,1
F0024,暂停,5.4,3,A,0
F0025,正常,3.6,0,B,2
F0026,正常,2.5,0,A,0
F0027,正常,1.0,1,A,0
F0028,创业后转灵活就业,15.4,3,A,0
F0029,暂停,3.4,0,B,0
F0030,暂停,8.1,1,A,0
F0031,创业后转灵活就业,6.6,0,B,1
F0032,创业后转灵活就业,13.9,0,A,0
F0033,正常,12.5,1,A,0
F0034,暂停,7.4,2,A,0
F0035,创业后转灵活就业,15.5,0,A,0
F0036,正常,10.0,0,B,0
F0037,创业后转灵活就业,8.7,2,A,0
F0038,创业后转灵活就业,12.1,3,A,0
F0039,创业后转灵活就业,2.1,2,C,1
F0040,暂停,11.3,0,A,0
F0041,正常,4.9,3,A,0
F0042,创业后转灵活就业,6.5,0,B,2
F0043,正常,2.4,2,A,0
F0044,正常,1.7,3,B,2
F0045,暂停,1.0,3,A,0
F0046,暂停,3.2,1,A,0
F0047,正常,13.4,0,B,0
F0048,暂停,6.3,1,A,0
F0049,正常,4.9,1,A,0
F0050,暂停,12.9,0,A,0
F0051,正常,9.3,2,A,0
F0052,正常,12.1,1,A,0
F0053,创业后转灵活就业,3.7,0,A,0
F0054,暂停,3.9,0,A,0
F0055,暂停,2.9,3,B,0
F0056,正常,2.1,2,A,0
F0057,创业后转灵活就业,2.2,2,B,1
F0058,正常,0.5,2,A,0
F0059,创业后转灵活就业,2.2,0,A,0
F0060,正常,11.1,0,A,0
F0061,正常,1.6,0,B,2
F0062,创业后转灵活就业,3.2,3,B,2
F0063,正常,9.3,0,B,2
F0064,正常,9.5,1,B,2
F0065,创业后转灵活就业,11.1,1,C,1
F0066,正常,8.1,0,C,2
F0067,正常,11.1,2,A,0
F0068,创业后转灵活就业,14.3,3,B,1
F0069,正常,9.4,0,A,0
F0070,创业后转灵活就业,15.7,2,A,0
F0071,暂停,12.8,0,A,0
F0072,创业后转灵活就业,10.1,3,A,0
F0073,创业后转灵活就业,12.7,3,A,0
F0074,暂停,14.2,1,A,0
F0075,暂停,12.1,3,A,0
F0076,暂停,11.6,2,B,0
F0077,正常,6.0,2,A,0
F0078,正常,14.3,0,C,0
F0079,创业后转灵活就业,11.4,2,B,2
F0080,创业后转灵活就业,4.0,0,A,0
