project_id,funding_round,funding_amount,valuation,operating_abnormality,legal_cases,dishonesty_record,market_growth,financing_need
P0001,未融资,1000000,0,0,0,0,0.07,3000000
P0002,A轮,0,0,1,1,0,0.34,8000000
P0003,天使轮,0,20000000,0,0,0,0.14,12000000
P0004,天使轮,0,100000000,0,0,0,0.14,1000000
P0005,天使轮,3000000,0,0,0,0,0.32,1000000
P0006,Pre-A,10000000,20000000,0,0,0,0.06,1000000
P0007,天使轮,5000000,10000000,1,1,0,0.37,5000000
P0008,Pre-A,10000000,100000000,1,0,0,0.43,8000000
P0009,天使轮,0,100000000,0,0,0,0.21,8000000
P0010,未融资,0,10000000,0,0,0,0.11,3000000
P0011,Pre-A,0,10000000,0,1,0,0.43,3000000
P0012,天使轮,3000000,0,0,0,0,0.35,12000000
P0013,天使轮,0,0,0,0,0,0.42,1000000
P0014,A轮,1000000,100000000,0,1,0,-0.03,0
P0015,Pre-A,0,100000000,0,0,0,-0.05,0
P0016,A轮,0,10000000,0,0,0,0.3,5000000
P0017,A轮,5000000,20000000,0,0,0,0.07,0
P0018,Pre-A,0,20000000,0,0,0,0.09,8000000
P0019,Pre-A,1000000,0,0,0,0,0.2,3000000
P0020,天使轮,0,10000000,1,0,0,0.44,8000000
P0021,未融资,1000000,0,0,0,0,0.42,1000000
P0022,天使轮,3000000,0,0,0,0,-0.01,12000000
P0023,天使轮,0,10000000,0,0,0,0.21,1000000
P0024,天使轮,10000000,10000000,0,0,0,0.05,3000000
P0025,A轮,5000000,100000000,0,0,0,0.06,0
P0026,Pre-A,0,0,0,0,0,0.25,3000000
P0027,A轮,10000000,100000000,0,0,0,0.21,8000000
P0028,未融资,0,0,0,0,0,0.05,5000000
P0029,Pre-A,5000000,100000000,0,1,0,0.39,0
P0030,未融资,5000000,0,1,1,0,0.03,5000000
P0031,Pre-A,1000000,0,1,0,0,0.21,1000000
P0032,Pre-A,5000000,10000000,0,0,0,0.05,12000000
P0033,Pre-A,0,10000000,0,0,0,0.24,8000000
P0034,未融资,1000000,20000000,0,0,0,0.44,0
P0035,A轮,1000000,10000000,0,0,0,0.4,5000000
P0036,未融资,1000000,20000000,0,0,0,0.17,0
P0037,未融资,1000000,10000000,0,0,0,0.13,8000000
P0038,A轮,1000000,20000000,0,0,0,0.17,12000000
P0039,未融资,1000000,20000000,0,0,0,0.19,12000000
P0040,天使轮,0,10000000,0,0,0,0.34,8000000
P0041,Pre-A,5000000,50000000,0,0,0,-0.02,8000000
P0042,天使轮,10000000,0,0,0,0,0.17,0
P0043,未融资,5000000,20000000,1,0,0,-0.03,8000000
P0044,A轮,0,20000000,1,0,0,0.08,0
P0045,天使轮,3000000,20000000,0,0,0,-0.0,1000000
P0046,A轮,0,0,0,0,0,0.43,0
P0047,Pre-A,1000000,50000000,0,0,0,-0.02,5000000
P0048,Pre-A,10000000,0,1,0,0,0.26,0
P0049,A轮,3000000,10000000,0,1,0,0.42,1000000
P0050,未融资,0,10000000,0,0,0,0.43,12000000
P0051,天使轮,0,10000000,0,0,0,0.24,1000000
P0052,未融资,10000000,100000000,0,0,0,0.32,0
P0053,A轮,1000000,10000000,0,0,0,0.24,0
P0054,天使轮,0,10000000,0,0,0,0.21,12000000
P0055,Pre-A,0,100000000,0,0,0,0.1,5000000
P0056,未融资,10000000,100000000,0,0,0,0.28,8000000
P0057,天使轮,1000000,100000000,1,0,0,0.25,0
P0058,未融资,0,100000000,0,0,0,-0.02,12000000
P0059,Pre-A,3000000,50000000,1,0,0,0.3,1000000
P0060,Pre-A,0,50000000,0,0,0,0.05,0
P0061,未融资,10000000,0,0,0,0,0.26,3000000
P0062,天使轮,3000000,20000000,0,0,0,0.05,0
P0063,A轮,3000000,0,0,0,0,0.4,12000000
P0064,天使轮,5000000,100000000,0,0,0,0.37,5000000
P0065,Pre-A,3000000,100000000,0,0,0,-0.03,8000000
P0066,Pre-A,0,0,0,0,0,0.1,12000000
P0067,天使轮,0,0,1,0,0,0.15,0
P0068,未融资,5000000,50000000,0,0,0,0.0,5000000
P0069,天使轮,0,20000000,0,0,0,0.21,12000000
P0070,A轮,10000000,10000000,0,1,0,0.35,1000000
P0071,Pre-A,1000000,100000000,0,0,0,0.35,5000000
P0072,A轮,1000000,20000000,0,0,0,0.06,0
P0073,天使轮,0,10000000,0,0,0,-0.03,3000000
P0074,天使轮,0,20000000,0,0,0,0.16,1000000
P0075,Pre-A,10000000,10000000,0,2,0,0.31,5000000
P0076,A轮,3000000,100000000,0,0,0,0.02,3000000
P0077,天使轮,0,20000000,0,0,0,0.17,5000000
P0078,A轮,5000000,100000000,0,0,0,0.02,3000000
P0079,A轮,0,20000000,0,0,0,0.13,1000000
P0080,Pre-A,0,10000000,0,0,0,0.15,5000000
