industry,quarter,new_company_growth,funding_growth,patent_growth,job_growth,policy_strength,market_growth
人工智能,2025Q4,0.07,-0.2,0.16,-0.09,0.85,0.29
人工智能,2026Q1,-0.1,0.35,0.19,0.01,0.82,0.08
人工智能,2026Q2,0.44,-0.08,-0.02,0.04,0.95,0.1
机器人,2025Q4,0.2,0.36,0.2,0.36,0.76,0.04
机器人,2026Q1,0.42,0.07,0.07,0.13,0.72,0.19
机器人,2026Q2,0.17,0.5,0.12,0.2,0.37,0.04
智能制造,2025Q4,-0.01,0.1,0.27,0.36,0.62,0.38
智能制造,2026Q1,0.12,0.22,0.31,0.05,0.66,0.08
智能制造,2026Q2,-0.06,0.28,0.44,0.02,0.5,0.2
新能源,2025Q4,-0.05,0.68,-0.01,-0.09,0.64,0.24
新能源,2026Q1,0.22,-0.01,0.3,0.08,0.52,0.22
新能源,2026Q2,0.25,0.11,-0.05,0.31,0.89,0.05
生物医药,2025Q4,0.21,0.11,0.07,0.04,0.56,0.24
生物医药,2026Q1,0.29,0.12,0.27,0.41,0.48,0.16
生物医药,2026Q2,-0.02,0.12,0.24,0.27,0.89,-0.03
企业服务,2025Q4,0.47,-0.18,0.07,0.29,0.54,0.08
企业服务,2026Q1,0.38,0.03,0.01,0.06,0.62,0.25
企业服务,2026Q2,0.34,-0.2,0.39,0.41,0.67,0.09
消费科技,2025Q4,-0.07,-0.1,0.42,0.02,0.64,0.17
消费科技,2026Q1,0.02,-0.0,0.08,0.3,0.64,0.12
消费科技,2026Q2,0.39,-0.09,-0.03,0.31,0.62,0.37
文化数字化,2025Q4,0.09,0.7,0.23,0.28,0.4,0.32
文化数字化,2026Q1,0.14,0.56,0.19,0.37,0.35,0.4
文化数字化,2026Q2,0.32,-0.05,-0.05,0.0,0.54,0.31
