investor_id,investor_name,preferred_industries,preferred_stages,ticket_min,ticket_max,region
INV001,示例投资机构001,生物医药|文化数字化,A轮|Pre-A,1000000,20000000,合肥
INV002,示例投资机构002,文化数字化|机器人|企业服务|人工智能,A轮|天使轮,3000000,8000000,武汉
INV003,示例投资机构003,新能源|机器人,A轮|Pre-A,3000000,12000000,成都
INV004,示例投资机构004,新能源|机器人,Pre-A|A轮,3000000,8000000,杭州
INV005,示例投资机构005,生物医药|智能制造|新能源,A轮|天使轮,3000000,30000000,杭州
INV006,示例投资机构006,消费科技|企业服务,A轮,5000000,20000000,南京
INV007,示例投资机构007,生物医药|消费科技|智能制造,A轮,5000000,8000000,苏州
INV008,示例投资机构008,新能源|企业服务|文化数字化|人工智能,天使轮|Pre-A,5000000,30000000,南京
INV009,示例投资机构009,人工智能|机器人,天使轮,1000000,12000000,全国
INV010,示例投资机构010,机器人|文化数字化|新能源|人工智能,天使轮,3000000,20000000,南京
INV011,示例投资机构011,智能制造|机器人,天使轮,5000000,20000000,苏州
INV012,示例投资机构012,机器人|人工智能|生物医药,Pre-A,1000000,20000000,武汉
INV013,示例投资机构013,消费科技|机器人|人工智能,Pre-A,3000000,30000000,全国
INV014,示例投资机构014,人工智能|文化数字化,Pre-A,1000000,20000000,武汉
INV015,示例投资机构015,新能源|智能制造|企业服务,A轮|天使轮,5000000,20000000,杭州
INV016,示例投资机构016,消费科技|企业服务|生物医药|智能制造,A轮|天使轮,1000000,8000000,武汉
INV017,示例投资机构017,人工智能|企业服务,Pre-A,5000000,12000000,南京
INV018,示例投资机构018,生物医药|机器人|人工智能|新能源,天使轮|Pre-A,1000000,30000000,深圳
INV019,示例投资机构019,人工智能|企业服务,A轮,3000000,12000000,武汉
INV020,示例投资机构020,消费科技|文化数字化|新能源|智能制造,Pre-A|天使轮,1000000,8000000,苏州
INV021,示例投资机构021,新能源|机器人|人工智能,天使轮|Pre-A,3000000,12000000,苏州
INV022,示例投资机构022,人工智能|新能源|生物医药,天使轮,3000000,30000000,武汉
INV023,示例投资机构023,企业服务|人工智能|生物医药,A轮,3000000,20000000,南京
INV024,示例投资机构024,机器人|消费科技|生物医药|新能源,A轮|天使轮,1000000,30000000,深圳
