project_id,founder_id,project_name,industry,team_size,stage,patent_count,registered,operating_status,revenue_12m,customer_count,funding_round
P0001,F0001,示例项目0001,人工智能,18,市场验证,3,是,正常,5000000,9,未融资
P0002,F0002,示例项目0002,新能源,2,成长期,4,是,正常,5000000,6,A轮
P0003,F0003,示例项目0003,人工智能,13,市场验证,1,否,正常,0,60,天使轮
P0004,F0004,示例项目0004,企业服务,16,MVP验证,0,是,正常,0,49,天使轮
P0005,F0005,示例项目0005,企业服务,11,MVP验证,5,是,暂停,5000000,12,天使轮
P0006,F0006,示例项目0006,文化数字化,14,机会探索,3,是,试运营,200000,18,Pre-A
P0007,F0007,示例项目0007,机器人,10,市场验证,2,是,正常,0,15,天使轮
P0008,F0008,示例项目0008,新能源,2,市场验证,5,否,正常,200000,27,Pre-A
P0009,F0009,示例项目0009,生物医药,25,成长期,2,是,正常,100000,17,天使轮
P0010,F0010,示例项目0010,生物医药,5,项目筹备,6,是,正常,5000000,12,未融资
P0011,F0011,示例项目0011,企业服务,13,项目筹备,7,是,试运营,2000000,23,Pre-A
P0012,F0012,示例项目0012,机器人,24,MVP验证,0,否,试运营,100000,39,天使轮
P0013,F0013,示例项目0013,消费科技,23,商业化,3,是,试运营,0,2,天使轮
P0014,F0014,示例项目0014,机器人,28,市场验证,8,否,正常,200000,51,A轮
P0015,F0015,示例项目0015,生物医药,11,市场验证,8,是,正常,5000000,25,Pre-A
P0016,F0016,示例项目0016,新能源,20,商业化,1,是,正常,2000000,43,A轮
P0017,F0017,示例项目0017,企业服务,11,项目筹备,4,否,试运营,50000,52,A轮
P0018,F0018,示例项目0018,新能源,4,MVP验证,7,是,正常,1000000,21,Pre-A
P0019,F0019,示例项目0019,企业服务,5,机会探索,7,是,正常,0,3,Pre-A
P0020,F0020,示例项目0020,新能源,7,成长期,0,是,正常,5000000,36,天使轮
P0021,F0021,示例项目0021,文化数字化,26,商业化,3,是,正常,50000,25,未融资
P0022,F0022,示例项目0022,人工智能,6,项目筹备,0,是,正常,500000,51,天使轮
P0023,F0023,示例项目0023,机器人,27,MVP验证,6,否,试运营,5000000,5,天使轮
P0024,F0024,示例项目0024,人工智能,4,项目筹备,4,是,正常,1000000,3,天使轮
P0025,F0025,示例项目0025,文化数字化,24,商业化,8,是,正常,0,17,A轮
P0026,F0026,示例项目0026,人工智能,15,成长期,2,是,正常,1000000,54,Pre-A
P0027,F0027,示例项目0027,文化数字化,27,市场验证,7,是,试运营,50000,21,A轮
P0028,F0028,示例项目0028,新能源,24,项目筹备,7,是,正常,50000,36,未融资
P0029,F0029,示例项目0029,智能制造,15,商业化,0,是,正常,0,21,Pre-A
P0030,F0030,示例项目0030,企业服务,6,市场验证,5,是,正常,0,8,未融资
P0031,F0031,示例项目0031,人工智能,15,MVP验证,3,是,正常,50000,35,Pre-A
P0032,F0032,示例项目0032,人工智能,20,商业化,1,是,正常,50000,51,Pre-A
P0033,F0033,示例项目0033,机器人,22,市场验证,1,是,试运营,2000000,18,Pre-A
P0034,F0034,示例项目0034,生物医药,13,市场验证,3,否,正常,100000,60,未融资
P0035,F0035,示例项目0035,企业服务,26,MVP验证,2,是,试运营,2000000,37,A轮
P0036,F0036,示例项目0036,机器人,2,市场验证,0,是,试运营,100000,7,未融资
P0037,F0037,示例项目0037,新能源,7,MVP验证,0,是,正常,200000,24,未融资
P0038,F0038,示例项目0038,文化数字化,3,市场验证,7,是,正常,50000,1,A轮
P0039,F0039,示例项目0039,消费科技,7,机会探索,2,是,试运营,200000,59,未融资
P0040,F0040,示例项目0040,消费科技,18,MVP验证,8,是,正常,1000000,49,天使轮
P0041,F0041,示例项目0041,人工智能,3,项目筹备,5,是,正常,200000,57,Pre-A
P0042,F0042,示例项目0042,人工智能,9,市场验证,5,否,正常,200000,33,天使轮
P0043,F0043,示例项目0043,消费科技,8,MVP验证,8,是,正常,500000,18,未融资
P0044,F0044,示例项目0044,人工智能,8,项目筹备,0,是,正常,5000000,11,A轮
P0045,F0045,示例项目0045,消费科技,25,商业化,5,是,暂停,0,48,天使轮
P0046,F0046,示例项目0046,智能制造,9,MVP验证,3,是,正常,5000000,2,A轮
P0047,F0047,示例项目0047,生物医药,17,商业化,5,是,正常,0,42,Pre-A
P0048,F0048,示例项目0048,消费科技,5,项目筹备,3,是,正常,200000,27,Pre-A
P0049,F0049,示例项目0049,机器人,21,项目筹备,7,是,正常,2000000,39,A轮
P0050,F0050,示例项目0050,机器人,14,市场验证,3,是,正常,200000,13,未融资
P0051,F0051,示例项目0051,生物医药,13,商业化,8,是,正常,500000,45,天使轮
P0052,F0052,示例项目0052,文化数字化,6,项目筹备,0,是,正常,200000,24,未融资
P0053,F0053,示例项目0053,机器人,10,市场验证,6,否,试运营,0,11,A轮
P0054,F0054,示例项目0054,生物医药,6,商业化,2,是,正常,50000,57,天使轮
P0055,F0055,示例项目0055,机器人,11,成长期,5,是,正常,1000000,11,Pre-A
P0056,F0056,示例项目0056,生物医药,25,成长期,6,否,正常,500000,26,未融资
P0057,F0057,示例项目0057,文化数字化,11,MVP验证,1,是,正常,0,12,天使轮
P0058,F0058,示例项目0058,消费科技,16,项目筹备,6,是,正常,50000,59,未融资
P0059,F0059,示例项目0059,机器人,24,MVP验证,6,是,试运营,2000000,43,Pre-A
P0060,F0060,示例项目0060,企业服务,9,商业化,2,否,正常,0,30,Pre-A
P0061,F0061,示例项目0061,智能制造,18,项目筹备,2,是,试运营,0,44,未融资
P0062,F0062,示例项目0062,消费科技,21,项目筹备,6,是,暂停,100000,45,天使轮
P0063,F0063,示例项目0063,智能制造,2,商业化,3,否,试运营,200000,50,A轮
P0064,F0064,示例项目0064,新能源,20,商业化,0,否,正常,5000000,39,天使轮
P0065,F0065,示例项目0065,企业服务,25,项目筹备,4,是,正常,1000000,44,Pre-A
P0066,F0066,示例项目0066,消费科技,25,商业化,0,是,正常,5000000,43,Pre-A
P0067,F0067,示例项目0067,智能制造,15,成长期,7,是,正常,0,12,天使轮
P0068,F0068,示例项目0068,智能制造,13,商业化,4,是,正常,0,25,未融资
P0069,F0069,示例项目0069,文化数字化,6,项目筹备,5,是,试运营,2000000,47,天使轮
P0070,F0070,示例项目0070,新能源,16,成长期,7,是,正常,5000000,38,A轮
P0071,F0071,示例项目0071,生物医药,13,机会探索,6,是,正常,200000,44,Pre-A
P0072,F0072,示例项目0072,企业服务,22,MVP验证,3,是,正常,200000,1,A轮
P0073,F0073,示例项目0073,新能源,22,成长期,5,是,正常,2000000,32,天使轮
P0074,F0074,示例项目0074,智能制造,22,市场验证,1,是,正常,100000,8,天使轮
P0075,F0075,示例项目0075,机器人,2,项目筹备,4,是,正常,0,2,Pre-A
P0076,F0076,示例项目0076,人工智能,23,成长期,1,是,试运营,0,10,A轮
P0077,F0077,示例项目0077,企业服务,17,MVP验证,7,否,正常,2000000,8,天使轮
P0078,F0078,示例项目0078,消费科技,27,市场验证,7,是,试运营,50000,42,A轮
P0079,F0079,示例项目0079,生物医药,27,项目筹备,4,否,正常,200000,57,A轮
P0080,F0080,示例项目0080,智能制造,16,市场验证,3,是,正常,5000000,51,Pre-A
